"Survey_Year","hh_categorisation_number","hh_categorisation_description","Food_code","Food_Code_description","ew:Sum(expenditure_*_household_weight)","ew2:Sum(expenditure_squared_*_household_weight_squared)","mw:Sum(members_of_household_*_household_weight)","mw2:(Sum(members_of_household_squared_*_household_weight_squared)","ewmw:Sum(expenditure_*_weighted_number_of_household_members_*_household_weight)","Combined_hh_categorisation_and_food_code","Estimate_of_average_expenditure:0.5*(ew/mw)","calc1:ew2/(ew*ew)","calc2:ewmw/(ew*mw)","calc3:mw2/(mw*mw)","standard_error:estimate_of_average_expenditure_*_(Square_Root(calc1-calc2+calc3)","residual_standard_error:standard_error_*_100/Estimate_of_average_expenditure"
201819,2,"FULL TIME EMPLOYEE AT WORK","cat111","FOOD (INC ALC,SD,C) EXC SALT",50412273.38,15976846128818.6,7907.31,355829.4347,1952774975.8467,"2_cat111",3187.70058211958,0.0062866384892577,0.00979754233511925,0.00569094436637878,148.83662200318,4.66909040447627
201819,2,"FULL TIME EMPLOYEE AT WORK","cat112","Soft drinks, alcholic drinks and confectionery",9885380.30000001,1601964899790.08,7907.31,355829.4347,375452326.293,"2_cat112",625.078585511382,0.0163932941925575,0.0096064438406323,0.00569094436637878,69.8238093793584,11.1704049695183
201819,2,"FULL TIME EMPLOYEE AT WORK","cat520","Milk and cream",3024531.28,68101720440.9514,7907.31,355829.4347,122189415.6259,"2_cat520",191.249064473253,0.00744460951043991,0.0102182550307794,0.00569094436637878,10.329749254103,5.40120250133178
201819,2,"FULL TIME EMPLOYEE AT WORK","cat521","Other milk and cream (excluding low fat milks)",1710475.42,32024279394.6216,7907.31,355829.4347,71319992.054,"2_cat521",108.157857729114,0.0109457541877696,0.0105461921254129,0.00569094436637878,8.44082273202709,7.80416967315264
201819,2,"FULL TIME EMPLOYEE AT WORK","cat522","Milk (whole, skimmed, semi-skimmed)",1314055.86,12920253211.2018,7907.31,355829.4347,50869423.5719,"2_cat522",83.0912067441393,0.0074824421953608,0.00979138707428575,0.00569094436637878,4.83216588660699,5.81549609874672
201819,2,"FULL TIME EMPLOYEE AT WORK","cat530","Milk, cheese and eggs",4848149.58999999,154331111760.412,7907.31,355829.4347,195348087.6772,"2_cat530",306.561244595191,0.00656600881792072,0.0101914125660379,0.00569094436637878,13.9326626082211,4.54482190878985
201819,2,"FULL TIME EMPLOYEE AT WORK","cat601","PRIMARY POULTRY",2091080.96,48747576949.8482,7907.31,355829.4347,84763279.8914,"2_cat601",132.224546653666,0.0111483690825991,0.010252697311712,0.00569094436637878,10.7310758254024,8.1157970263344
201819,2,"FULL TIME EMPLOYEE AT WORK","cat602","OTHER COOKED MEAT EXC BACON & HAM AND POULTRY)",320619.44,1879145502.6728,7907.31,355829.4347,9647199.9654,"2_cat602",20.2736101151972,0.0182801900455645,0.00761049070221091,0.00569094436637878,2.5931717619371,12.790873195264
201819,2,"FULL TIME EMPLOYEE AT WORK","cat603","SAUSAGES, UNCOOKED",351350.13,2599908428.8351,7907.31,355829.4347,11405167.6573,"2_cat603",22.2167924363659,0.0210609431028209,0.00821037107010998,0.00569094436637878,3.02519923836017,13.6167236878368
201819,2,"FULL TIME EMPLOYEE AT WORK","cat604","Offals",15355.19,59853858.3193,7907.31,355829.4347,476912.3524,"2_cat604",0.970949033236335,0.253852685425084,0.00785569488045842,0.00569094436637878,0.487110658333353,50.1685095364616
201819,2,"FULL TIME EMPLOYEE AT WORK","cat605","Other meat and meat products",3597222.7,135006528749.808,7907.31,355829.4347,146422388.718,"2_cat605",227.461848593264,0.0104332621625588,0.0102953565706932,0.00569094436637878,17.366008227852,7.63469053612811
201819,2,"FULL TIME EMPLOYEE AT WORK","cat610","TOTAL MEAT AND MEAT PRODUCTS (INC CARCASE)",9307278.5,624426159889.624,7907.31,355829.4347,366954358.494,"2_cat610",588.52368883982,0.00720834676044548,0.00997219061546812,0.00569094436637878,31.8407116824315,5.41026848812158
201819,2,"FULL TIME EMPLOYEE AT WORK","cat650","FISH (FRESH, CHILLED OR FROZEN)",626924.02,21245202118.2244,7907.31,355829.4347,25251638.2491,"2_cat650",39.6420539981359,0.0540543995761782,0.0101876937129797,0.00569094436637878,8.824934727079,22.2615476168162
201819,2,"FULL TIME EMPLOYEE AT WORK","cat651","OTHER FISH AND FISH PRODUCTS",1733004.36,39132650277.1534,7907.31,355829.4347,61345618.7703,"2_cat651",109.582421834986,0.0130298660477554,0.00895334101857998,0.00569094436637878,10.8300864644001,9.88305084250515
201819,2,"FULL TIME EMPLOYEE AT WORK","cat700","Preserves",264446.35,3336114946.7617,7907.31,355829.4347,7350992.2443,"2_cat700",16.7216379527298,0.0477052143750788,0.007030878901839,0.00569094436637878,3.60060316389346,21.5325985054332
201819,2,"FULL TIME EMPLOYEE AT WORK","cat701","Fresh and processed potatoes",1858090.95,24784347202.1343,7907.31,355829.4347,74913166.6405,"2_cat701",117.491975779374,0.00717866270799473,0.0101974695630761,0.00569094436637878,6.07348004520342,5.16927220341259
201819,2,"FULL TIME EMPLOYEE AT WORK","cat702","PROCESSED VEGETABLES EXCLUDING PROCESSED POTATOES",1502991.62,30245294745.528,7907.31,355829.4347,51538885.0556,"2_cat702",95.0381115701801,0.0133888939860692,0.00867320657525501,0.00569094436637878,9.69511337682048,10.2012900052851
201819,2,"FULL TIME EMPLOYEE AT WORK","cat703","Frozen vegetables",200243.21,608374923.4391,7907.31,355829.4347,7549412.4239,"2_cat703",12.661904617373,0.0151724497342999,0.00953578791177347,0.00569094436637878,1.34762205101893,10.6431227508214
201819,2,"FULL TIME EMPLOYEE AT WORK","cat704","CANNED VEGETABLES (INC POTATOES)",414025.49,2014012916.4911,7907.31,355829.4347,16215664.7598,"2_cat704",26.1799202257152,0.011749194459898,0.00990624142033577,0.00569094436637878,2.2723654097678,8.67980265094837
